Scenario,Size,Repetition,Method,Total_Rotations,Final_Height
Random,1000,1,Standard,212,11
Random,1000,1,Optimized,173,11
Sorted,1000,1,Standard,105,10
Sorted,1000,1,Optimized,70,10
Random,1000,2,Standard,222,11
Random,1000,2,Optimized,162,11
Sorted,1000,2,Standard,83,10
Sorted,1000,2,Optimized,61,10
Random,1000,3,Standard,217,11
Random,1000,3,Optimized,183,11
Sorted,1000,3,Standard,98,10
Sorted,1000,3,Optimized,78,10
Random,1000,4,Standard,221,10
Random,1000,4,Optimized,163,10
Sorted,1000,4,Standard,86,10
Sorted,1000,4,Optimized,57,10
Random,1000,5,Standard,218,11
Random,1000,5,Optimized,188,11
Sorted,1000,5,Standard,88,10
Sorted,1000,5,Optimized,75,10
Random,10000,1,Standard,2082,15
Random,10000,1,Optimized,1685,15
Sorted,10000,1,Standard,805,14
Sorted,10000,1,Optimized,617,14
Random,10000,2,Standard,2081,15
Random,10000,2,Optimized,1716,15
Sorted,10000,2,Standard,808,14
Sorted,10000,2,Optimized,622,14
Random,10000,3,Standard,2114,14
Random,10000,3,Optimized,1678,15
Sorted,10000,3,Standard,910,14
Sorted,10000,3,Optimized,723,14
Random,10000,4,Standard,2106,15
Random,10000,4,Optimized,1640,15
Sorted,10000,4,Standard,812,14
Sorted,10000,4,Optimized,643,14
Random,10000,5,Standard,2149,15
Random,10000,5,Optimized,1660,15
Sorted,10000,5,Standard,830,14
Sorted,10000,5,Optimized,630,14
Random,100000,1,Standard,21124,19
Random,100000,1,Optimized,16717,19
Sorted,100000,1,Standard,8428,17
Sorted,100000,1,Optimized,6466,17
Random,100000,2,Standard,21380,19
Random,100000,2,Optimized,16981,19
Sorted,100000,2,Standard,8320,17
Sorted,100000,2,Optimized,6341,17
Random,100000,3,Standard,21086,19
Random,100000,3,Optimized,16659,19
Sorted,100000,3,Standard,8234,17
Sorted,100000,3,Optimized,6325,17
Random,100000,4,Standard,21174,19
Random,100000,4,Optimized,16802,19
Sorted,100000,4,Standard,8440,17
Sorted,100000,4,Optimized,6440,17
Random,100000,5,Standard,21258,19
Random,100000,5,Optimized,16795,19
Sorted,100000,5,Standard,8287,17
Sorted,100000,5,Optimized,6448,17
Random,1000000,1,Standard,211105,23
Random,1000000,1,Optimized,167148,23
Sorted,1000000,1,Standard,83493,20
Sorted,1000000,1,Optimized,64160,20
Random,1000000,2,Standard,210873,23
Random,1000000,2,Optimized,167583,23
Sorted,1000000,2,Standard,83565,20
Sorted,1000000,2,Optimized,64125,20
Random,1000000,3,Standard,211646,23
Random,1000000,3,Optimized,167543,23
Sorted,1000000,3,Standard,83577,20
Sorted,1000000,3,Optimized,64134,20
Random,1000000,4,Standard,211308,23
Random,1000000,4,Optimized,166942,23
Sorted,1000000,4,Standard,83417,20
Sorted,1000000,4,Optimized,64225,20
Random,1000000,5,Standard,211643,23
Random,1000000,5,Optimized,168003,23
Sorted,1000000,5,Standard,83959,20
Sorted,1000000,5,Optimized,64137,20
Long_Running,100000,1,Standard,858460,20
Long_Running,100000,1,Optimized,738365,20
Long_Running,100000,2,Standard,855732,20
Long_Running,100000,2,Optimized,738447,20
Long_Running,100000,3,Standard,856876,20
Long_Running,100000,3,Optimized,737865,20
Long_Running,100000,4,Standard,857839,20
Long_Running,100000,4,Optimized,738076,20
Long_Running,100000,5,Standard,857288,20
Long_Running,100000,5,Optimized,737343,20
