Size,Repetition,Method,Execution_Time_ms
1000,1,Standard,4.8531000002185465
1000,1,Optimized,5.011700000068231
1000,2,Standard,5.446799999845098
1000,2,Optimized,5.479100000229664
1000,3,Standard,4.9370999995517195
1000,3,Optimized,5.429300000287185
1000,4,Standard,4.930399999466317
1000,4,Optimized,5.0481000007494
1000,5,Standard,4.7604000001229
1000,5,Optimized,4.865300000346906
10000,1,Standard,66.94129999959841
10000,1,Optimized,64.63399999938702
10000,2,Standard,54.98089999946387
10000,2,Optimized,56.793300000208546
10000,3,Standard,72.33240000005026
10000,3,Optimized,54.71439999928407
10000,4,Standard,54.2712999995274
10000,4,Optimized,54.461300000184565
10000,5,Standard,58.43760000061593
10000,5,Optimized,57.75129999983619
100000,1,Standard,831.5517999999429
100000,1,Optimized,779.199300000073
100000,2,Standard,768.7785000007352
100000,2,Optimized,764.4414000005781
100000,3,Standard,754.752499999995
100000,3,Optimized,760.7779999998456
100000,4,Standard,730.9715000001233
100000,4,Optimized,740.5067999998209
100000,5,Standard,745.9079000000202
100000,5,Optimized,748.0518000002121
1000000,1,Standard,9422.947899999599
1000000,1,Optimized,9588.296899999477
1000000,2,Standard,9495.735200000126
1000000,2,Optimized,9632.018999999673
1000000,3,Standard,9469.107199999598
1000000,3,Optimized,11818.550399999367
1000000,4,Standard,11992.60520000007
1000000,4,Optimized,10559.228399999483
1000000,5,Standard,10414.155200000096
1000000,5,Optimized,11733.81690000042
